"","state","year","hazard","cropdmg","cropdmg_adj","cropdmgpercapita","propertydmg","propertydmg_adj","propertydmgpercapita","duration_days"
"70","ALABAMA",2008,"Fog",0,0,0,20000,27966.17944,0.27037,1
"71","ALABAMA",2008,"Hail",0,0,0,33000,46144.19608,0.12312,1
"72","ALABAMA",2008,"Heat",0,0,0,0,0,0,1
"73","ALABAMA",2008,"Hurricane/Tropical Storm",0,0,0,228000,318814.44567,9.20103,3
"74","ALABAMA",2008,"Lightning",0,0,0,514250,719080.38898,15.06145,2
"75","ALABAMA",2008,"Severe Storm/Thunder Storm",1000,1398.30897,0.01568,3454650,4830668.09095,104.03761,1
"76","ALABAMA",2008,"Tornado",5000,6991.54486,0.23433,27591500,38581442.0076,931.88621,1
"77","ALABAMA",2008,"Wind",1000,1398.30897,0.01568,3959650,5536814.12194,123.14846,2
"78","ALABAMA",2009,"Coastal",0,0,0,8e+06,11226412.84721,62.41126,2
"79","ALABAMA",2009,"Flooding",0,0,0,15696500,22026923.65702,379.45419,6
"80","ALABAMA",2009,"Hail",0,0,0,162000,227334.86016,4.54858,1
"81","ALABAMA",2009,"Heat",0,0,0,0,0,0,5
"82","ALABAMA",2009,"Hurricane/Tropical Storm",0,0,0,83000,116474.03329,3.31981,3
"83","ALABAMA",2009,"Landslide",0,0,0,1e+05,140330.16059,3.42202,1
"84","ALABAMA",2009,"Lightning",0,0,0,2997000,4205694.91289,36.52254,2
"85","ALABAMA",2009,"Severe Storm/Thunder Storm",0,0,0,3333625,4678081.31597,102.43896,2
"86","ALABAMA",2009,"Tornado",0,0,0,9744500,13674472.4987,359.10501,1
"87","ALABAMA",2009,"Wind",0,0,0,7318125,10269536.56468,210.70947,2
"88","ALABAMA",2010,"Coastal",0,0,0,0,0,0,1
"89","ALABAMA",2010,"Flooding",0,0,0,3209000,4430522.04261,59.40547,3
"90","ALABAMA",2010,"Hail",0,0,0,450000,621294.7707,12.77808,1
"91","ALABAMA",2010,"Heat",375000,517745.64225,1.99718,0,0,0,28
"92","ALABAMA",2010,"Lightning",0,0,0,1411000,1948104.26991,31.00963,1
"93","ALABAMA",2010,"Severe Storm/Thunder Storm",0,0,0,1992300,2750679.04815,65.39742,1
"94","ALABAMA",2010,"Tornado",0,0,0,25369000,35025837.86197,470.84723,1
"95","ALABAMA",2010,"Wildfire",0,0,0,103000,142207.46974,4.42517,5
"96","ALABAMA",2010,"Wind",0,0,0,2013800,2780363.13163,65.68703,1
"97","ALABAMA",2010,"Winter Weather",0,0,0,0,0,0,1
"98","ALABAMA",2011,"Coastal",0,0,0,0,0,0,1
"99","ALABAMA",2011,"Flooding",0,0,0,602000,805721.50786,33.79945,2
"100","ALABAMA",2011,"Hail",0,0,0,2930166.66667,3921757.98164,164.08925,1
"101","ALABAMA",2011,"Heat",0,0,0,0,0,0,3
"102","ALABAMA",2011,"Hurricane/Tropical Storm",0,0,0,175000,234221.36856,10.27467,1
"103","ALABAMA",2011,"Landslide",0,0,0,20000,26768.15641,0.50308,1
"104","ALABAMA",2011,"Lightning",0,0,0,1686000,2256555.58514,24.60631,1
"105","ALABAMA",2011,"Severe Storm/Thunder Storm",0,0,0,3650541.66667,4885913.51524,101.65914,1
"106","ALABAMA",2011,"Tornado",3e+06,4015223.4611,156.95503,4362373700,5838635075.43689,64184.16526,1
"107","ALABAMA",2011,"Wind",0,0,0,4230141.66667,5661654.68792,120.06534,1
"108","ALABAMA",2011,"Winter Weather",0,0,0,17300,23154.45529,0.65292,2
"109","ALABAMA",2012,"Coastal",0,0,0,0,0,0,1
"110","ALABAMA",2012,"Flooding",0,0,0,358000,469435.27183,4.3677,1
"111","ALABAMA",2012,"Heat",0,0,0,0,0,0,3
"112","ALABAMA",2012,"Lightning",5000,6556.35855,0.01913,1134000,1486982.11802,12.54035,2
"113","ALABAMA",2012,"Severe Storm/Thunder Storm",0,0,0,2195525,2878929.81893,71.62971,1
"114","ALABAMA",2012,"Tornado",0,0,0,1589000,2083610.74562,16.09469,1
"115","ALABAMA",2012,"Wind",0,0,0,2168525,2843525.48279,71.17088,1
"116","ALABAMA",2013,"Coastal",0,0,0,0,0,0,2
"117","ALABAMA",2013,"Flooding",0,0,0,3881000,5015579.31102,152.42173,2
"118","ALABAMA",2013,"Hail",0,0,0,5000,6461.71001,0.25721,1
"119","ALABAMA",2013,"Landslide",0,0,0,488097,630788.25431,8.89549,1
"120","ALABAMA",2013,"Lightning",0,0,0,1319500,1705245.27207,18.04519,1
"121","ALABAMA",2013,"Severe Storm/Thunder Storm",3000,3877.02601,0.10319,625100,807842.98565,16.93836,1
"122","ALABAMA",2013,"Tornado",0,0,0,1770000,2287445.34412,12.01337,1
"123","ALABAMA",2013,"Wind",3000,3877.02601,0.10319,814950,1053194.1148,19.00466,2
"124","ALABAMA",2013,"Winter Weather",0,0,0,5000,6461.71001,0.2048,1
"125","ALABAMA",2014,"Coastal",0,0,0,0,0,0,1
"126","ALABAMA",2014,"Flooding",0,0,0,34618460,44024726.32844,214.77642,2
"127","ALABAMA",2014,"Hail",0,0,0,10500,13352.98065,0.03751,1
"128","ALABAMA",2014,"Lightning",0,0,0,110000,139888.36869,4.7755,1
"129","ALABAMA",2014,"Severe Storm/Thunder Storm",0,0,0,736600,936743.38528,20.68002,1
"130","ALABAMA",2014,"Tornado",0,0,0,990000,1258995.31825,71.52601,1
"131","ALABAMA",2014,"Wind",0,0,0,749600,953275.64703,21.19484,1
"132","ALABAMA",2014,"Winter Weather",0,0,0,1e+06,1271712.44268,37.0622,2
"133","ALABAMA",2015,"Coastal",0,0,0,0,0,0,1
"134","ALABAMA",2015,"Flooding",0,0,0,9472000,12031379.26058,394.82024,8
"135","ALABAMA",2015,"Lightning",0,0,0,295000,374710.39716,2.57258,1
"136","ALABAMA",2015,"Severe Storm/Thunder Storm",0,0,0,1840750,2338129.36802,38.01429,1
"137","ALABAMA",2015,"Tornado",0,0,0,1325000,1683021.27537,94.77715,1
"138","ALABAMA",2015,"Wind",0,0,0,1861750,2364803.66748,38.50237,1
"139","ALABAMA",2016,"Coastal",0,0,0,0,0,0,1
"140","ALABAMA",2016,"Flooding",0,0,0,2e+05,246393.70117,7.32892,2
"141","ALABAMA",2016,"Heat",0,0,0,0,0,0,1
"142","ALABAMA",2016,"Lightning",0,0,0,121000,149068.18921,6.43997,1
"143","ALABAMA",2016,"Severe Storm/Thunder Storm",100,123.19685,0.00133,553100,681401.78059,21.93208,2
"144","ALABAMA",2016,"Tornado",0,0,0,1908000,2350595.90916,109.16444,1
"145","ALABAMA",2016,"Wind",100,123.19685,0.00133,1585600,1953409.26288,26.30778,2
"146","ALABAMA",2017,"Coastal",0,0,0,0,0,0,1
"147","ALABAMA",2017,"Flooding",0,0,0,22783000,27498578.3152,250.51569,2
"148","ALABAMA",2017,"Hurricane/Tropical Storm",0,0,0,2610000,3150212.41288,39.69343,2
"149","ALABAMA",2017,"Lightning",0,0,0,150000,181046.6904,1.74389,1
"150","ALABAMA",2017,"Severe Storm/Thunder Storm",0,0,0,1856650,2240935.58482,66.70228,1
"151","ALABAMA",2017,"Tornado",0,0,0,2242000,2706044.53244,128.54783,1
"152","ALABAMA",2017,"Wind",0,0,0,1904150,2298267.03678,67.39815,1
"153","ALABAMA",2017,"Winter Weather",0,0,0,20000,24139.55872,1.21194,1
"154","ALABAMA",2018,"Coastal",0,0,0,0,0,0,1
"155","ALABAMA",2018,"Flooding",0,0,0,2215000,2655633.48904,149.02737,2
"156","ALABAMA",2018,"Hurricane/Tropical Storm",0,0,0,4358450,5225483.42227,108.90835,1
"157","ALABAMA",2018,"Lightning",0,0,0,629500,754727.44079,11.10311,1
"158","ALABAMA",2018,"Severe Storm/Thunder Storm",0,0,0,277750,333003.25128,8.23194,1
"159","ALABAMA",2018,"Tornado",0,0,0,376000,450798.28076,19.09878,1
